load from checkpoint/plane-5crop/k4/best.pth.tar
Train  (('AD', 151), ('CN', 183))
Test  (('AD', 37), ('CN', 45))
original image result
accuracy: 0.7804878048780488
-2.0 -2.0 -2.0 0.9940350651741028 0.005964946933090687
-2.0 -2.0 -2.0 0.9929063320159912 0.007093626540154219
-2.0 -2.0 -2.0 0.9929386973381042 0.007061310578137636
-2.0 -2.0 -2.0 0.9825018644332886 0.017498109489679337
-2.0 -2.0 -2.0 0.9916467070579529 0.008353269658982754
-2.0 -2.0 -2.0 0.9927924871444702 0.007207559887319803
-2.0 -2.0 -2.0 0.9938315153121948 0.006168419029563665
-2.0 -2.0 -2.0 0.987520694732666 0.012479335069656372
-2.0 -2.0 -2.0 0.9971580505371094 0.002841914538294077
-2.0 -2.0 -2.0 0.9921060800552368 0.00789388082921505
-2.0 -2.0 -2.0 0.9927099943161011 0.007289995439350605
-2.0 -2.0 -2.0 0.9890003204345703 0.010999592021107674
-2.0 -2.0 -2.0 0.995208203792572 0.004791836719959974
-2.0 -2.0 -2.0 0.9845811724662781 0.015418834052979946
-2.0 -2.0 -2.0 0.9959045052528381 0.004095529206097126
-2.0 -2.0 -2.0 0.9913693070411682 0.008630728349089622
-2.0 -2.0 -2.0 0.9920791983604431 0.007920781150460243
-2.0 -2.0 -2.0 0.9922831654548645 0.007716854102909565
-2.0 -2.0 -2.0 0.9919664859771729 0.008033517748117447
-2.0 -2.0 -2.0 0.9874463081359863 0.012553736567497253
-2.0 -2.0 -2.0 0.9943196773529053 0.005680302623659372
-2.0 -2.0 -2.0 0.992590069770813 0.007409870158880949
-2.0 -2.0 -2.0 0.995600700378418 0.004399258643388748
-2.0 -2.0 -2.0 0.9840083122253418 0.01599169336259365
-2.0 -2.0 -2.0 0.9907457828521729 0.00925421342253685
-2.0 -2.0 -2.0 0.9943265318870544 0.005673425272107124
-2.0 -2.0 -2.0 0.9872309565544128 0.012769042514264584
-2.0 -2.0 -2.0 0.9932651519775391 0.006734818685799837
-2.0 -2.0 -2.0 0.9889861345291138 0.0110138775780797
-2.0 -2.0 -2.0 0.9903805255889893 0.009619560092687607
-2.0 -2.0 -2.0 0.9898227453231812 0.0101772490888834
-2.0 -2.0 -2.0 0.988781213760376 0.011218764819204807
-2.0 -2.0 -2.0 0.9896153211593628 0.010384623892605305
-2.0 -2.0 -2.0 0.9941547513008118 0.0058453199453651905
-2.0 -2.0 -2.0 0.981589138507843 0.018410781398415565
-2.0 -2.0 -2.0 0.993629515171051 0.006370427552610636
-2.0 -2.0 -2.0 0.9692975282669067 0.03070249781012535
-2.0 -2.0 -2.0 0.992938220500946 0.007061825133860111
-2.0 -2.0 -2.0 0.9874996542930603 0.012500342912971973
-2.0 -2.0 -2.0 0.9766623973846436 0.023337582126259804
-2.0 -2.0 -2.0 0.9946953654289246 0.0053047072142362595
-2.0 -2.0 -2.0 0.9924750924110413 0.007524868939071894
-2.0 -2.0 -2.0 0.9874037504196167 0.012596283107995987
-2.0 -2.0 -2.0 0.9931935667991638 0.0068064420484006405
-2.0 -2.0 -2.0 0.991459846496582 0.00854018796235323
-2.0 -2.0 -2.0 0.9905208349227905 0.009479120373725891
-2.0 -2.0 -2.0 0.988469660282135 0.011530421674251556
-2.0 -2.0 -2.0 0.9826430082321167 0.017357055097818375
-2.0 -2.0 -2.0 0.9873046278953552 0.012695389799773693
-2.0 -2.0 -2.0 0.9742334485054016 0.025766566395759583
-2.0 -2.0 -2.0 0.9928030371665955 0.007196890655905008
-2.0 -2.0 -2.0 0.9878793358802795 0.012120700441300869
-2.0 -2.0 -2.0 0.9809584021568298 0.0190416406840086
-2.0 -2.0 -2.0 0.9965364933013916 0.003463495522737503
-2.0 -2.0 -2.0 0.9882082343101501 0.011791825294494629
-2.0 -2.0 -2.0 0.991694986820221 0.008304979652166367
-2.0 -2.0 -2.0 0.9901899695396423 0.009810048155486584
-2.0 -2.0 -2.0 0.9904811978340149 0.009518776088953018
-2.0 -2.0 -2.0 0.9895482063293457 0.010451776906847954
-2.0 -2.0 -2.0 0.9875927567481995 0.012407192029058933
-2.0 -2.0 -2.0 0.9902306199073792 0.009769371710717678
-2.0 -2.0 -2.0 0.9880736470222473 0.011926401406526566
-2.0 -2.0 -2.0 0.979068398475647 0.02093164063990116
-2.0 -2.0 -2.0 0.994549572467804 0.005450399126857519
-2.0 -2.0 -2.0 0.9902442097663879 0.00975587498396635
-2.0 -2.0 -2.0 0.9925609230995178 0.0074390084482729435
-2.0 -2.0 -2.0 0.9878817796707153 0.012118274345993996
